"id","latitude","longitude","time","type_crime"
3706,37.8579,-122.285,1458615600,"ASSAULT/BATTERY MISD."
3707,37.8686,-122.294,1458635100,"ASSAULT/BATTERY FEL."
3708,37.869,-122.27,1458664560,"ASSAULT/BATTERY MISD."
3709,37.8644,-122.259,1458666000,"ASSAULT/BATTERY MISD."
3710,37.8682,-122.295,1458685800,"ASSAULT/BATTERY MISD."
3711,37.8669,-122.259,1458715860,"ASSAULT/BATTERY MISD."
3712,37.8736,-122.269,1458772380,"ASSAULT/BATTERY MISD."
3713,37.8814,-122.274,1458837420,"ASSAULT/BATTERY MISD."
3714,37.852,-122.27,1458846300,"ASSAULT/BATTERY MISD."
3715,37.8634,-122.303,1458856200,"ASSAULT/BATTERY MISD."
3716,37.8694,-122.268,1458862200,"ASSAULT/BATTERY MISD."
3717,37.8706,-122.266,1458930660,"ASSAULT/BATTERY MISD."
3718,37.8805,-122.296,1458942360,"ASSAULT/BATTERY MISD."
3719,37.8681,-122.257,1458985380,"ASSAULT/BATTERY MISD."
3720,37.8713,-122.282,1459136760,"ASSAULT/BATTERY MISD."
3721,37.8759,-122.26,1459290600,"ASSAULT/BATTERY MISD."
3722,37.8845,-122.297,1459380600,"ASSAULT/BATTERY MISD."
3723,37.8818,-122.27,1459396740,"ASSAULT/BATTERY MISD."
3724,37.8667,-122.256,1459589460,"ASSAULT/BATTERY MISD."
3725,37.8716,-122.266,1459603200,"ASSAULT/BATTERY MISD."
3726,37.8667,-122.259,1459648200,"ASSAULT/BATTERY FEL."
3727,37.8565,-122.293,1459732560,"ASSAULT/BATTERY MISD."
3728,37.8805,-122.296,1459843200,"ASSAULT/BATTERY MISD."
3729,37.8694,-122.289,1459897800,"ASSAULT/BATTERY MISD."
3730,37.8615,-122.257,1459981860,"ASSAULT/BATTERY MISD."
3731,37.8736,-122.269,1460069400,"ASSAULT/BATTERY FEL."
3732,37.8709,-122.268,1460144340,"ASSAULT/BATTERY MISD."
3733,37.8612,-122.259,1460146020,"ASSAULT/BATTERY MISD."
3734,37.854,-122.269,1460148060,"ASSAULT/BATTERY MISD."
3735,37.8676,-122.261,1460192340,"ASSAULT/BATTERY FEL."
3736,37.8474,-122.282,1460325000,"ASSAULT/BATTERY MISD."
3737,37.8474,-122.282,1460325000,"ASSAULT/BATTERY MISD."
3738,37.8718,-122.271,1460325600,"ASSAULT/BATTERY MISD."
3739,37.8573,-122.269,1460392800,"ASSAULT/BATTERY MISD."
3740,37.8948,-122.268,1460399700,"ASSAULT/BATTERY MISD."
3741,37.8948,-122.268,1460401200,"ASSAULT/BATTERY MISD."
3742,37.8548,-122.274,1460419200,"ASSAULT/BATTERY MISD."
3743,37.8567,-122.267,1460480400,"ASSAULT/BATTERY MISD."
3744,37.8703,-122.268,1460496180,"ASSAULT/BATTERY FEL."
3745,37.8719,-122.278,1460511900,"ASSAULT/BATTERY MISD."
3746,37.8638,-122.267,1460539980,"ASSAULT/BATTERY MISD."
3747,37.88,-122.269,1460583000,"ASSAULT/BATTERY MISD."
3748,37.8685,-122.268,1460629920,"ASSAULT/BATTERY FEL."
3749,37.8671,-122.268,1460657460,"ASSAULT/BATTERY MISD."
3750,37.8711,-122.268,1460752380,"ASSAULT/BATTERY MISD."
3751,37.8692,-122.269,1460785080,"ASSAULT/BATTERY MISD."
3752,37.8694,-122.268,1460859300,"ASSAULT/BATTERY MISD."
3753,37.8691,-122.251,1460881800,"ASSAULT/BATTERY MISD."
3754,37.8546,-122.269,1460925720,"ASSAULT/BATTERY FEL."
3755,37.862,-122.267,1461033900,"ASSAULT/BATTERY MISD."
3756,37.8685,-122.259,1461052560,"ASSAULT/BATTERY FEL."
3757,37.8685,-122.268,1461088800,"ASSAULT/BATTERY MISD."
3758,37.8573,-122.269,1461106800,"ASSAULT/BATTERY MISD."
3759,37.8691,-122.268,1461106800,"ASSAULT/BATTERY MISD."
